healthAuthority_ID,partition,c_count,component_size,component_edges,budget,pre_optimization_short_pairs,m_status,m_obj,m_MIPGap,m_runtime,density,perc_reduction_obj
0,0,0,24296,130261,4859,130261,9,48091.0,2.96313239483479,3600.033999919892,0.04413597462265319,63.081044978926926
0,1,0,24243,180160,4848,180160,9,41085.0,2.85992454667153,3600.9049999713898,0.061310316836001875,77.19527087033748
0,2,0,22855,127744,4571,127744,9,41613.0,2.826039939442,3600.2400000095367,0.048913310572546755,67.42469313627255
0,3,0,22899,105754,4579,105754,9,36354.0,3.56769543929141,3602.4079999923706,0.04033784849548243,65.62399530987008
0,4,0,22757,117862,4551,117862,9,32998.0,5.5245772471058805,3600.3099999427795,0.04551901623311267,72.00285079160373
0,5,0,22739,121212,4547,121212,9,37368.0,3.92314279597516,3600.672000169754,0.04688695067332414,69.17136917136916
0,6,0,24283,69970,4856,69970,9,27117.0,0.37983552752885,3601.453000068665,0.023733133105331764,61.2448192082321
0,7,0,24282,106936,4856,106936,9,34914.0,6.34415993584235,3600.7430000305176,0.036274622953100105,67.35056482381985
0,8,0,24289,117476,4857,117476,9,33542.0,3.51499612426211,3600.4879999160767,0.03982701495621103,71.4477850795056
0,9,0,22902,182335,4580,182335,9,35607.0,4.92880613362541,3600.2160000801086,0.06952999208726687,80.47165930841582
0,10,0,22801,70581,4560,70581,9,23075.0,2.04117009750812,3600.309000015259,0.027153702861601178,67.30706564089486
0,11,0,23450,141897,4690,141897,9,46407.0,4.33124313142413,3600.2200000286102,0.05161025865597171,67.2952916552147
0,12,0,24285,139666,4857,139666,9,51791.0,4.48147361510687,3600.4160001277924,0.047365525381537064,62.91796142225022
1,0,0,22822,130630,4564,130630,9,45877.0,3.31974627809141,3600.457999944687,0.050163121153929506,64.88019597335987
1,1,0,22292,117846,4458,117846,9,41767.0,2.65520626331793,3600.882999897003,0.04743143405575677,64.55798245167422
1,2,0,23187,114464,4637,114464,9,38775.0,1.97292069632495,3600.8450000286102,0.04258224168814184,66.12472043611966
1,3,0,21905,125916,4381,125916,9,44509.0,3.39257228875059,3600.184000015259,0.05248609066076385,64.65183137964992
2,0,0,19408,115791,3881,115791,9,37261.0,4.36381202866267,3600.0299999713898,0.061484495081304116,67.82046963926385
2,1,0,19364,92086,3872,92086,9,29708.0,2.16776625824693,3600.6399998664856,0.04911972026883123,67.7388528115023
2,2,0,18145,94192,3629,94192,9,32539.0,2.77820461599926,3600.559000015259,0.057220810412690636,65.45460336334295
2,2,1,116,411,23,411,2,164.0,0.0,0.0309998989105224,6.16191904047976,60.09732360097323
2,3,0,18287,99496,3657,99496,9,35201.0,2.27550353683134,3600.315999984741,0.05950787425792865,64.62068826887513
3,0,0,35240,217053,7048,217053,9,83362.0,2.33799572946906,3600.190999984741,0.0349571737458488,61.593712134824216
